,Filename,Category,ExecutedLines,Code_Indices
0,1114,Concurrency_prepared,"[24, 5, 6, 7, 8, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27]","from threading import Lock # 1
# 2
class Foo: # 3
def __init__(self): # 4
self.firstDone = Lock() # 5
self.secondDone = Lock() # 6
self.firstDone.acquire() # 7
self.secondDone.acquire() # 8
# 9
def first(self, printFirst: 'Callable[[], None]') -> None: # 10
printFirst() # 11
self.firstDone.release() # 12
# 13
def second(self, printSecond: 'Callable[[], None]') -> None: # 14
self.firstDone.acquire() # 15
printSecond() # 16
self.secondDone.release() # 17
# 18
def third(self, printThird: 'Callable[[], None]') -> None: # 19
self.secondDone.acquire() # 20
printThird() # 21
# 22
if __name__ == ""__main__"": # 23
foo = Foo() # 24
foo.first(lambda: print(""First"")) # 25
foo.second(lambda: print(""Second"")) # 26
foo.third(lambda: print(""Third"")) # 27"
1,1114,Concurrency_prepared,"[22, 3, 4, 5, 6, 24, 27, 30, 33, 34, 35, '(', 37, 25, 9, 25, 10, 39, 28, 13, 14, 28, 15, 40, 31, 18, 19, 31, 42, 43, 44, ')']","class Foo: # 1
def __init__(self): # 2
self.firstDone = Lock() # 3
self.secondDone = Lock() # 4
self.firstDone.acquire() # 5
self.secondDone.acquire() # 6
# 7
def first(self, printFirst: 'Callable[[], None]') -> None: # 8
printFirst() # 9
self.firstDone.release() # 10
# 11
def second(self, printSecond: 'Callable[[], None]') -> None: # 12
self.firstDone.acquire() # 13
printSecond() # 14
self.secondDone.release() # 15
# 16
def third(self, printThird: 'Callable[[], None]') -> None: # 17
self.secondDone.acquire() # 18
printThird() # 19
# 20
if __name__ == ""__main__"": # 21
foo = Foo() # 22
# 23
def run_first(): # 24
foo.first(lambda: print(""First"")) # 25
# 26
def run_second(): # 27
foo.second(lambda: print(""Second"")) # 28
# 29
def run_third(): # 30
foo.third(lambda: print(""Third"")) # 31
# 32
t1 = Thread(target=run_first) # 33
t2 = Thread(target=run_second) # 34
t3 = Thread(target=run_third) # 35
# 36
t1.start() # 37
# 38
t2.start() # 39
t3.start() # 40
# 41
t1.join() # 42
t2.join() # 43
t3.join() # 44"
2,1114,Concurrency_prepared,"[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 32, 33, '(', 35, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 40, ')']","from threading import Lock # 1
# 2
class Foo: # 3
def __init__(self): # 4
self.firstDone = Lock() # 5
self.secondDone = Lock() # 6
self.firstDone.acquire() # 7
self.secondDone.acquire() # 8
# 9
def first(self, printFirst: 'Callable[[], None]') -> None: # 10
printFirst() # 11
self.firstDone.release() # 12
# 13
def second(self, printSecond: 'Callable[[], None]') -> None: # 14
self.firstDone.acquire() # 15
printSecond() # 16
self.secondDone.release() # 17
# 18
def third(self, printThird: 'Callable[[], None]') -> None: # 19
self.secondDone.acquire() # 20
printThird() # 21
# 22
if __name__ == ""__main__"": # 23
def run_foo_instance(foo_instance): # 24
foo_instance.first(lambda: print(""First"")) # 25
foo_instance.second(lambda: print(""Second"")) # 26
foo_instance.third(lambda: print(""Third"")) # 27
# 28
foo1 = Foo() # 29
foo2 = Foo() # 30
# 31
t1 = Thread(target=run_foo_instance, args=(foo1,)) # 32
t2 = Thread(target=run_foo_instance, args=(foo2,)) # 33
# 34
t1.start() # 35
# 36
t2.start() # 37
# 38
t1.join() # 39
t2.join() # 40"
3,1114,Concurrency_prepared,"[24, 5, 6, 7, 8, 26, 29, 32, 35, 36, 37, '(', 39, 27, 11, 27, 12, 41, 33, 20, 42, 30, 15, 16, 30, 17, 44, 45, 46, 21, 33, ')']","from threading import Lock # 1
# 2
class Foo: # 3
def __init__(self): # 4
self.firstDone = Lock() # 5
self.secondDone = Lock() # 6
self.firstDone.acquire() # 7
self.secondDone.acquire() # 8
# 9
def first(self, printFirst: 'Callable[[], None]') -> None: # 10
printFirst() # 11
self.firstDone.release() # 12
# 13
def second(self, printSecond: 'Callable[[], None]') -> None: # 14
self.firstDone.acquire() # 15
printSecond() # 16
self.secondDone.release() # 17
# 18
def third(self, printThird: 'Callable[[], None]') -> None: # 19
self.secondDone.acquire() # 20
printThird() # 21
# 22
if __name__ == ""__main__"": # 23
foo = Foo() # 24
# 25
def run_first(): # 26
foo.first(lambda: print(""First"")) # 27
# 28
def run_second(): # 29
foo.second(lambda: print(""Second"")) # 30
# 31
def run_third(): # 32
foo.third(lambda: print(""Third"")) # 33
# 34
t1 = Thread(target=run_first) # 35
t2 = Thread(target=run_second) # 36
t3 = Thread(target=run_third) # 37
# 38
t1.start() # 39
# 40
t3.start() # 41
t2.start() # 42
# 43
t1.join() # 44
t2.join() # 45
t3.join() # 46"
4,1114,Concurrency_prepared,"[24, 29, 5, 6, 7, 8, 30, 5, 6, 7, 8, 31, 5, 6, 7, 8, 33, 34, 35, '(', 37, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 39, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 40, 25, 11, 25, 12, 26, 15, 16, 26, 17, 27, 20, 21, 27, 42, 43, 44, ')']","from threading import Lock # 1
# 2
class Foo: # 3
def __init__(self): # 4
self.firstDone = Lock() # 5
self.secondDone = Lock() # 6
self.firstDone.acquire() # 7
self.secondDone.acquire() # 8
# 9
def first(self, printFirst: 'Callable[[], None]') -> None: # 10
printFirst() # 11
self.firstDone.release() # 12
# 13
def second(self, printSecond: 'Callable[[], None]') -> None: # 14
self.firstDone.acquire() # 15
printSecond() # 16
self.secondDone.release() # 17
# 18
def third(self, printThird: 'Callable[[], None]') -> None: # 19
self.secondDone.acquire() # 20
printThird() # 21
# 22
if __name__ == ""__main__"": # 23
def run_foo_instance(foo_instance): # 24
foo_instance.first(lambda: print(""First"")) # 25
foo_instance.second(lambda: print(""Second"")) # 26
foo_instance.third(lambda: print(""Third"")) # 27
# 28
foo1 = Foo() # 29
foo2 = Foo() # 30
foo3 = Foo() # 31
# 32
t1 = Thread(target=run_foo_instance, args=(foo1,)) # 33
t2 = Thread(target=run_foo_instance, args=(foo2,)) # 34
t3 = Thread(target=run_foo_instance, args=(foo3,)) # 35
# 36
t1.start() # 37
# 38
t2.start() # 39
t3.start() # 40
# 41
t1.join() # 42
t2.join() # 43
t3.join() # 44"
5,1115,Concurrency_prepared,"[26, 27, 3, 4, 5, 28, 29, '(', 30, 8, 9, 10, 20, 11, 8, 9, 32, 14, 15, 16, 23, 17, 14, 15, 33, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 9, 16, 23, 17, 14, 15, 10, 20, 11, 8, 16, 23, 17, 14, 34, ')']","class FooBar: # 1
def __init__(self, n): # 2
self.n = n # 3
self.fooSemaphore = Semaphore(1) # 4
self.barSemaphore = Semaphore(0) # 5
# 6
def foo(self, printFoo: 'Callable[[], None]') -> None: # 7
for _ in range(self.n): # 8
self.fooSemaphore.acquire() # 9
printFoo() # 10
self.barSemaphore.release() # 11
# 12
def bar(self, printBar: 'Callable[[], None]') -> None: # 13
for _ in range(self.n): # 14
self.barSemaphore.acquire() # 15
printBar() # 16
self.fooSemaphore.release() # 17
# 18
def printFoo(): # 19
print(""foo"", end='') # 20
# 21
def printBar(): # 22
print(""bar"", end='') # 23
# 24
if __name__ == ""__main__"": # 25
n = 5 # 26
foobar = FooBar(n) # 27
thread1 = threading.Thread(target=foobar.foo, args=(printFoo,)) # 28
thread2 = threading.Thread(target=foobar.bar, args=(printBar,)) # 29
thread1.start() # 30
# 31
thread2.start() # 32
thread1.join() # 33
thread2.join() # 34"
6,1115,Concurrency_prepared,"[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']","from threading import Semaphore # 1
import threading # 2
# 3
class FooBar: # 4
def __init__(self, n): # 5
self.n = n # 6
self.fooSemaphore = Semaphore(1) # 7
self.barSemaphore = Semaphore(0) # 8
# 9
def foo(self, printFoo: 'Callable[[], None]') -> None: # 10
for _ in range(self.n): # 11
self.fooSemaphore.acquire() # 12
printFoo() # 13
self.barSemaphore.release() # 14
# 15
def bar(self, printBar: 'Callable[[], None]') -> None: # 16
for _ in range(self.n): # 17
self.barSemaphore.acquire() # 18
printBar() # 19
self.fooSemaphore.release() # 20
# 21
def printFoo(): # 22
print(""foo"", end='') # 23
# 24
def printBar(): # 25
print(""bar"", end='') # 26
# 27
if __name__ == ""__main__"": # 28
n = 3 # 29
foobar = FooBar(n) # 30
thread1 = threading.Thread(target=foobar.foo, args=(printFoo,)) # 31
thread2 = threading.Thread(target=foobar.bar, args=(printBar,)) # 32
thread1.start() # 33
# 34
thread2.start() # 35
thread1.join() # 36
thread2.join() # 37"
7,1115,Concurrency_prepared,"[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 37, 19, 26, 20, 17, ')']","from threading import Semaphore # 1
import threading # 2
# 3
class FooBar: # 4
def __init__(self, n): # 5
self.n = n # 6
self.fooSemaphore = Semaphore(1) # 7
self.barSemaphore = Semaphore(0) # 8
# 9
def foo(self, printFoo: 'Callable[[], None]') -> None: # 10
for _ in range(self.n): # 11
self.fooSemaphore.acquire() # 12
printFoo() # 13
self.barSemaphore.release() # 14
# 15
def bar(self, printBar: 'Callable[[], None]') -> None: # 16
for _ in range(self.n): # 17
self.barSemaphore.acquire() # 18
printBar() # 19
self.fooSemaphore.release() # 20
# 21
def printFoo(): # 22
print(""foo"", end='') # 23
# 24
def printBar(): # 25
print(""bar"", end='') # 26
# 27
if __name__ == ""__main__"": # 28
n = 7 # 29
foobar = FooBar(n) # 30
thread1 = threading.Thread(target=foobar.foo, args=(printFoo,)) # 31
thread2 = threading.Thread(target=foobar.bar, args=(printBar,)) # 32
thread1.start() # 33
# 34
thread2.start() # 35
thread1.join() # 36
thread2.join() # 37"
8,1115,Concurrency_prepared,"[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']","from threading import Semaphore # 1
import threading # 2
# 3
class FooBar: # 4
def __init__(self, n): # 5
self.n = n # 6
self.fooSemaphore = Semaphore(1) # 7
self.barSemaphore = Semaphore(0) # 8
# 9
def foo(self, printFoo: 'Callable[[], None]') -> None: # 10
for _ in range(self.n): # 11
self.fooSemaphore.acquire() # 12
printFoo() # 13
self.barSemaphore.release() # 14
# 15
def bar(self, printBar: 'Callable[[], None]') -> None: # 16
for _ in range(self.n): # 17
self.barSemaphore.acquire() # 18
printBar() # 19
self.fooSemaphore.release() # 20
# 21
def printFoo(): # 22
print(""foo"", end='') # 23
# 24
def printBar(): # 25
print(""bar"", end='') # 26
# 27
if __name__ == ""__main__"": # 28
n = 2 # 29
foobar = FooBar(n) # 30
thread1 = threading.Thread(target=foobar.foo, args=(printFoo,)) # 31
thread2 = threading.Thread(target=foobar.bar, args=(printBar,)) # 32
thread1.start() # 33
# 34
thread2.start() # 35
thread1.join() # 36
thread2.join() # 37"
9,1115,Concurrency_prepared,"[29, 30, 6, 7, 8, 31, 32, '(', 33, 11, 12, 13, 23, 14, 11, 12, 35, 17, 18, 19, 26, 20, 17, 18, 36, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 12, 19, 26, 20, 17, 18, 13, 23, 14, 11, 19, 26, 20, 17, 37, ')']","from threading import Semaphore # 1
import threading # 2
# 3
class FooBar: # 4
def __init__(self, n): # 5
self.n = n # 6
self.fooSemaphore = Semaphore(1) # 7
self.barSemaphore = Semaphore(0) # 8
# 9
def foo(self, printFoo: 'Callable[[], None]') -> None: # 10
for _ in range(self.n): # 11
self.fooSemaphore.acquire() # 12
printFoo() # 13
self.barSemaphore.release() # 14
# 15
def bar(self, printBar: 'Callable[[], None]') -> None: # 16
for _ in range(self.n): # 17
self.barSemaphore.acquire() # 18
printBar() # 19
self.fooSemaphore.release() # 20
# 21
def printFoo(): # 22
print(""foo"", end='') # 23
# 24
def printBar(): # 25
print(""bar"", end='') # 26
# 27
if __name__ == ""__main__"": # 28
n = 10 # 29
foobar = FooBar(n) # 30
thread1 = threading.Thread(target=foobar.foo, args=(printFoo,)) # 31
thread2 = threading.Thread(target=foobar.bar, args=(printBar,)) # 32
thread1.start() # 33
# 34
thread2.start() # 35
thread1.join() # 36
thread2.join() # 37"
