HumanEval_ID,Name,FunctionCall,Predicted,Actual,Matched,Distance
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3","[14, 15, 16, 17, 18, 19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.2186046511627907
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05","[14, 15, 16, 17, 18, 15, 16, 17, 18, 19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.12520064205457465
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.95","[14, 15, 16, 17, 18, 19]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.17870722433460076
HumanEval/0,has_close_elements,"[1.0, 2.0, 5.9, 4.0, 5.0], 0.8","[1.0, 2.0, 5.9, 4.0, 5.0]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.032407407407407406
HumanEval/0,has_close_elements,"[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1","[1.0, 2.0, 3.0, 4.0, 5.0, 2.0]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 19]",False,0.167420814479638
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 1.0","[14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 20, 21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 19]",False,0.34317343173431736
HumanEval/0,has_close_elements,"[1.1, 2.2, 3.1, 4.1, 5.1], 0.5","[14, 15, 16, 17, 18, 15, 16, 17, 18, ..., 20, 21]","[14, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 16, 17, 18, 15, 14, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 17, 18, 15, 16, 15, 14, 21]",False,0.19956140350877194
HumanEval/1,separate_paren_groups,"('( ) (( )) (( )( ))',)",[],"[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 22, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.0
HumanEval/1,separate_paren_groups,"('(()(())((())))',)","[14, 15, 16, 18, 19, 20, 21, 18, 22, 23, 24, 18, 19, 20, 21, 18, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 18, 19, 20, 21, 18, 22, 23, 24, 26, 27, 28, 18, 22, 23, 24, 26, 27, 28, 30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.4024640657084189
HumanEval/1,separate_paren_groups,"('() (()) ((())) (((())))',)","[14, 15, 16, 18, 19, 20, 21, 18, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 21, 18, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 21, 21, 18, 22, 23, 24, 26, 27, 28, 18, 19, 20, 21, 21, 21, 21, 18, 22, 23, 24, 26, 27, 28, 18, 22, 23, 24, 26, 27, 28, 30]","[14, 15, 16, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 19, 22, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 20, 21, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 18, 19, 22, 23, 24, 26, 27, 28, 18, 30]",False,0.2476060191518468
